Name;RotationTime;Diameter;Distance;OrbitTime
text;Hours       ;km      ;Million km; days      
Sun;609;1391400;0.0;0.0
Mercury;1407.6;4879;46.5;2112
Venus;-5832;12104;108.2;5392.8
Earth;23.95;12756;150.0;8764.8
Mars;24.6;6792;207.0;16488
Jupiter;9.84;142984;742.5;103893.6
Saturn;10.23;120536;1351.5;258069.6
Uranus;22.0;52400;2742;735927.6
Neptune;19.0;48400;4470;1443560.4
Pluto;-153.4;2445;5906;2173968
Moon;755.2;3475;0.384;755.2
Io;200;3652;0.4216;42.46
Europa;140;3138;0.671;85.22
Ganymedes;350;5262;1.07;171.72
Callisto;220;4800;1.88;400.54
Titan;110;5150;1.222;371.88
Rhea;51.0;1530;0.527;108.43
Iapetus;142;1460;3.561;1903.94
Ariel;45.3;1170;0.191;60.48
Umbriel;79.0;1190;0.266;99.46
Titania;196;1560;0.436;208.94
Oberon;225;1550;0.584;323.11
Triton;678;3500;0.355;141.05
Charon;66.8;1130;0.0197;153.29
